id,odi_no,date,venue,host_country,venue_status,team1,team2,toss_winner,toss_decision,result,dls_applied,winner,team1_runs,team2_runs,team1_overs_played,team2_overs_played,team1_wickets,team2_wickets,team1_runs_from_extra,team2_runs_from_extra,win_by_runs,win_by_wickets,player_of_the_match,umpire1,umpire2,reserve_umpire,tv_umpire
11,4317,07/09/2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,neutral,Nepal,PNG,PNG,bat,normal,0,Nepal,135,134,39.3,33,8,10,5,7,0,2,Sandeep Lamichhane,Ahmed Shah Pakteen,Harikrishna Pillai,Vinod Babu,
12,4322,10/09/2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,neutral,Nepal,PNG,Nepal,bat,normal,0,Nepal,233,82,49.3,19.1,10,10,24,4,151,0,Sandeep Lamichhane,Ahmed Shah Pakteen,Rahul Asher,Vinod Babu,
13,4324,13/09/2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,neutral,Nepal,USA,USA,bat,normal,0,Nepal,231,230,49,50,5,9,6,7,0,5,Kushal Bhurtel,Rahul Asher,Vinod Babu,Ahmed Shah Pakteen,
14,4325,14/09/2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,away,Nepal,Oman,Nepal,bat,normal,0,Oman,196,200,47.4,31.1,10,5,7,6,0,5,Jatinder Singh,Ahmed Shah Pakteen,Rahul Asher,Harikrishna Pillai,
15,4327,17/09/2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,neutral,Nepal,USA,USA,field,normal,0,USA,174,175,48,29.3,10,4,13,7,0,6,Steven Taylor,Harikrishna Pillai,Rahul Asher,Ahmed Shah Pakteen,
16,4328,19/09/2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,away,Nepal,Oman,Nepal,field,normal,0,Nepal,122,121,18.2,37.1,3,10,17,12,0,7,Karan KC,Ahmed Shah Pakteen,Rahul Asher,Vinod Babu,
17,4368,16/03/2022,Sharjah Cricket Stadium,UAE,neutral,Nepal,PNG,PNG,bat,normal,0,Nepal,208,204,49.2,50,8,8,22,4,0,2,Rohit Paudel,Akbar Ali,Shiju Sam,Raveendra Wimalasiri,
18,4369,18/03/2022,Dubai International Cricket Stadium,UAE,away,Nepal,UAE,UAE,bat,normal,0,UAE,120,168,35.1,46.3,10,10,5,10,48,0,Rohan Mustafa,Akbar Ali,Raveendra Wimalasiri,Shiju Sam,
19,4373,21/03/2022,Dubai International Cricket Stadium,UAE,away,Nepal,UAE,Nepal,field,normal,0,UAE,103,202,35.1,50,10,9,10,5,99,0,Rohan Mustafa,Akbar Ali,Raveendra Wimalasiri,Shiju Sam,
20,4374,22/03/2022,Dubai International Cricket Stadium,UAE,neutral,Nepal,PNG,Nepal,field,normal,0,Nepal,174,173,37,50,3,8,19,10,0,7,Aarif Sheikh,Akbar Ali,Shiju Sam,Raveendra Wimalasiri,
